M01_2_N,M02_2_N,M03_2_N,M04_2_N,M05_2_N,M06_2_N,M07_2_N,M08_2_N,M09_2_N,M10_2_N,M11_2_N,M12_2_N,status
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,1.7,5.1,5.1,1.7,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,2.0,5.1,5.1,5.1,3.0,1.3,5.1,5.1,5.1,5.1,5.1,1
4.0,5.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,1.3,1.7,2.3,1.7,5.1,5.1,1.7,3.3,3.7,5.1,5.1,1
5.1,5.1,1.3,1.0,1.0,5.1,5.1,1.0,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,1.0,1.3,1.0,1.3,5.1,5.1,5.1,5.1,1.0,5.1,5.1,1
5.1,5.1,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,3.0,5.1,3.0,5.1,5.1,5.0,1.7,5.1,5.1,3.7,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.7,1.7,1.0,1.7,1.0,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.7,5.1,2.0,5.1,5.1,2.0,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,3.0,5.1,1.3,5.1,5.1,1.3,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,2.7,2.3,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,1.3,3.7,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.8,4.8,5.1,1.0,2.2,5.1,5.1,4.8,4.9,1.0,5.1,5.1,0
4.8,4.8,3.2,2.3,1.7,5.1,5.0,4.8,1.0,2.2,5.0,5.1,1
5.0,1.0,5.1,4.9,1.6,5.1,5.1,4.8,4.9,4.9,5.1,5.1,1
4.8,4.8,5.1,5.0,1.1,5.1,5.1,5.1,4.8,5.1,5.1,5.1,1
5.0,5.1,5.1,5.1,1.0,5.1,5.1,1.6,5.1,5.1,5.1,5.1,0
1.2,4.8,2.8,5.0,4.8,5.1,2.3,1.2,2.2,2.4,5.1,5.1,0
1.8,1.0,5.1,4.1,5.1,5.1,5.0,2.7,4.8,5.1,5.1,5.1,1
4.9,4.8,5.1,2.4,1.9,2.0,4.9,5.1,1.4,4.9,5.1,5.1,0
2.5,2.8,5.1,5.0,1.9,5.1,5.0,5.0,5.1,5.0,5.1,5.1,1
5.0,1.0,5.1,3.2,1.0,5.1,5.0,5.1,4.9,5.0,5.1,5.1,1
4.9,1.6,5.1,1.0,5.1,5.1,4.9,2.0,1.2,5.1,5.1,5.1,0
5.1,4.8,5.1,4.4,1.6,5.1,5.1,4.8,4.8,4.9,5.1,5.1,0
1.5,1.7,5.1,5.1,2.1,5.1,5.1,5.1,4.9,1.0,5.1,5.1,1
5.1,1.0,5.1,5.0,1.1,5.1,5.1,1.0,5.0,5.0,5.1,5.1,0
4.8,4.8,5.1,5.1,4.8,5.1,4.9,4.7,4.9,5.1,5.1,5.1,0
4.8,4.9,1.5,4.8,5.0,5.1,5.0,4.9,5.1,2.8,3.8,5.1,1
5.0,4.9,4.4,4.9,4.9,5.1,5.0,4.8,1.7,5.1,5.1,5.1,1
5.0,1.0,5.1,1.5,4.9,5.1,5.0,5.1,5.1,1.5,5.1,5.1,1
4.9,5.0,2.0,4.9,5.0,5.1,4.9,5.1,4.8,1.0,5.1,5.1,1
4.8,4.7,5.1,3.7,4.9,2.4,5.1,4.9,4.8,3.4,5.1,5.1,0
2.0,1.0,2.7,1.0,1.0,5.1,1.0,1.1,5.1,5.0,5.1,5.1,1
2.2,5.1,5.1,5.1,2.4,5.1,5.1,5.1,1.8,5.1,2.9,5.1,1
5.1,5.1,1.8,5.1,1.0,5.1,4.9,4.8,5.0,4.9,3.0,5.1,1
4.9,5.0,5.1,5.1,1.9,5.0,4.9,4.9,5.1,5.0,5.1,5.1,1
1.7,2.9,5.1,4.6,4.8,5.1,4.9,1.0,5.1,5.0,1.5,5.1,1
4.7,4.7,5.1,5.1,4.9,4.9,5.0,4.9,4.9,5.1,5.1,5.1,0
1.2,1.7,4.1,5.0,5.1,5.1,5.1,5.1,4.9,4.2,5.1,5.1,0
4.8,1.0,4.5,4.9,1.0,5.1,3.2,4.9,4.9,1.0,5.0,5.1,0
4.8,4.9,5.1,5.0,1.0,5.0,4.9,4.8,2.0,3.5,4.1,5.1,1
4.9,1.0,5.1,4.9,1.7,5.1,1.0,1.1,2.8,5.0,5.1,5.1,1
4.7,5.0,4.4,2.7,4.7,5.1,5.1,4.9,5.0,5.1,5.1,5.1,1
4.9,4.7,5.0,3.1,1.3,5.1,4.9,4.9,4.8,5.0,5.1,5.1,0
4.9,4.9,5.1,5.1,5.1,5.1,4.9,5.1,5.0,1.6,5.1,5.1,1
5.1,4.7,3.9,5.1,5.1,2.8,1.0,1.0,1.0,2.5,5.1,5.1,1
1.0,1.0,5.1,3.6,1.0,5.1,4.9,1.6,1.1,1.0,5.1,5.1,1
1.0,5.1,3.6,1.0,1.7,5.1,5.1,4.9,4.9,5.1,3.8,5.1,0
4.7,1.0,1.6,5.1,1.3,5.1,1.8,1.7,4.8,2.4,5.1,5.1,1
5.0,2.0,5.1,5.1,2.4,5.1,3.0,2.1,4.9,3.1,5.1,5.1,1
5.1,4.8,5.1,4.9,2.1,5.1,5.0,5.1,1.0,5.0,3.1,5.1,1
1.0,1.0,5.1,5.1,2.1,5.0,5.1,5.0,5.0,3.9,5.1,5.1,1
1.0,4.9,5.1,1.0,5.1,5.1,4.9,1.0,4.8,1.0,4.3,5.1,0
4.8,4.7,2.4,5.1,2.0,5.1,5.1,4.9,5.1,5.1,5.1,5.1,1
5.1,4.8,5.1,4.0,1.0,4.2,5.0,4.9,5.0,5.0,5.1,5.1,1
2.2,4.9,5.1,5.1,5.1,5.1,1.5,4.9,4.9,3.1,5.1,5.1,0
5.0,5.0,5.1,1.0,1.1,5.1,4.9,4.9,5.1,5.0,5.1,5.1,1
4.9,1.0,5.1,1.0,2.4,4.9,5.0,5.0,1.0,1.0,3.9,5.1,1
5.1,4.9,3.7,5.1,1.0,5.1,4.9,4.9,5.1,5.0,5.1,5.1,1
3.1,1.0,3.4,5.1,1.0,5.1,4.9,1.0,4.8,5.0,5.1,5.1,1
1.0,4.9,5.1,4.8,4.9,5.1,5.1,5.0,5.0,5.0,5.1,5.1,1
4.8,4.8,5.1,5.0,5.0,5.1,5.0,5.1,5.1,5.0,5.1,5.1,1
1.0,1.0,5.1,5.1,5.0,5.1,5.1,5.0,1.0,5.1,5.1,5.1,1
4.8,4.7,5.0,4.8,1.6,5.1,5.0,5.1,4.9,5.0,5.1,5.1,0
1.6,4.9,5.1,1.8,1.3,1.9,4.9,4.8,4.8,1.0,5.1,5.1,0
4.9,4.8,5.1,4.5,4.7,5.1,4.9,5.1,5.1,2.3,5.1,5.1,1
1.0,5.1,4.9,5.0,2.8,5.0,1.0,4.9,4.9,5.1,5.1,5.1,1
4.8,5.1,2.3,4.1,1.0,5.1,5.1,5.1,5.1,1.0,5.1,5.1,0
1.0,4.7,5.1,2.7,4.7,5.1,5.1,5.1,4.8,5.1,2.6,5.1,1
4.7,1.0,5.1,1.0,5.1,5.1,1.0,5.1,4.9,4.9,5.1,5.1,0
4.8,2.2,3.4,5.0,2.2,5.1,4.9,4.9,4.9,5.1,5.1,5.1,1
4.8,4.9,5.1,5.1,1.0,5.1,5.1,4.8,4.9,1.0,5.1,5.1,1
4.8,1.0,5.1,2.4,1.0,5.1,4.9,5.0,4.9,1.0,5.0,5.1,0
4.9,5.1,5.1,5.1,1.0,5.1,4.9,4.7,4.9,4.9,1.6,5.1,0
4.9,1.0,3.5,5.1,1.4,5.1,4.9,5.0,5.0,1.0,3.1,5.1,1
1.0,2.9,5.1,2.8,2.6,5.1,1.0,4.8,5.0,2.5,5.1,5.1,1
1.0,4.8,5.1,5.1,2.4,5.1,4.9,4.9,4.8,1.5,5.1,5.1,0
4.9,4.8,1.6,4.9,2.3,5.1,2.8,4.9,5.0,5.1,5.1,5.1,1
5.0,4.9,5.1,3.8,1.0,4.0,1.0,5.1,1.0,4.9,5.1,5.1,1
1.0,1.3,3.3,5.1,4.9,5.0,5.1,5.0,2.4,5.0,5.1,5.1,1
4.9,1.0,5.1,5.0,5.0,4.8,5.0,4.9,4.8,1.0,5.1,5.1,1
5.1,5.0,5.1,3.0,2.5,5.1,1.0,5.1,5.1,5.0,5.1,5.1,1
5.0,4.8,3.9,5.1,1.5,5.1,5.0,5.0,4.8,2.2,5.1,5.1,1
4.8,4.9,3.3,3.0,5.1,5.1,4.9,4.9,4.8,5.0,5.1,5.1,1
4.7,1.0,5.1,5.1,1.0,5.1,1.0,1.0,4.8,4.3,5.1,5.1,0
4.9,1.0,5.1,5.0,1.5,5.1,5.0,5.1,1.0,1.0,3.7,5.1,0
1.0,1.7,5.1,5.0,4.9,5.1,5.0,4.8,4.9,4.9,5.1,5.1,1
4.9,1.0,5.1,3.7,5.0,5.1,5.0,4.9,4.9,1.0,3.9,5.1,1
2.8,4.8,5.0,4.9,4.7,4.9,4.9,1.0,5.1,4.9,5.1,5.1,1
1.5,1.3,5.1,5.1,1.7,5.1,5.0,4.9,4.9,5.1,5.1,5.1,0
1.1,4.9,5.1,3.1,1.4,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.4,5.1,1.0,3.2,1.4,3.7,5.1,5.1,5.1,5.0,3.9,5.1,0
5.1,2.1,4.5,5.1,2.4,5.1,1.0,4.9,5.1,1.3,5.1,5.1,1
4.7,1.7,5.1,1.0,1.0,4.5,5.0,5.0,4.8,4.9,5.1,5.1,1
5.0,4.8,5.1,2.2,1.2,5.1,5.0,4.9,4.9,5.1,5.0,5.1,1
4.7,5.1,5.1,4.8,2.8,5.1,4.9,5.0,5.0,5.1,5.1,5.1,0
4.7,1.6,1.8,4.9,5.1,1.1,5.0,2.0,4.8,1.8,5.1,5.1,0
1.0,4.8,5.1,3.2,5.1,5.1,5.0,4.9,1.0,5.1,5.1,5.1,0
1.1,5.1,5.1,2.9,4.8,5.0,5.1,5.1,5.1,1.0,5.1,5.1,0
1.0,1.0,5.1,5.0,4.9,5.1,1.0,1.0,4.8,1.0,5.0,5.1,1
4.8,4.8,3.8,5.1,4.8,5.1,4.9,1.2,4.8,1.0,5.1,5.1,1
5.0,5.1,5.1,5.1,2.4,5.1,5.0,1.4,4.9,1.0,5.0,5.1,0
3.0,1.0,5.1,4.9,1.3,5.1,5.1,5.1,4.9,1.2,2.6,5.1,1
5.0,1.3,5.1,1.0,4.9,5.1,5.0,5.0,5.1,5.1,3.8,5.1,0
5.0,4.7,5.1,1.0,1.6,4.4,4.9,4.9,1.0,5.1,5.1,5.1,0
